Id,Channel Identifier,Abs. Time,Sender,Message,ID,Avatar,
32326,GSL_G.2_main_1,1700068553613,P.16,Hello,"""P.16_P.19""",661074,racoon.png
32327,GSL_G.2_main_1,1700068554710,P.17,Hi,"""P.15_P.17""",694133,donkey.png
32328,GSL_G.2_main_1,1700068559127,P.15,Hi!,"""P.15_P.17""",90684,monkey.png
32329,GSL_G.2_main_1,1700068560767,P.21,Hi :),"""P.19_P.21""",696373,dog2.png
32330,GSL_G.2_main_1,1700068562389,P.20,hi!,"""P.20_P.21""",594825,Pig.png
32331,GSL_G.2_main_1,1700068564357,P.16,Wassup,"""P.16_P.23""",661074,racoon.png
32332,GSL_G.2_main_1,1700068567819,P.14,Hi,"""P.14_P.17""",464297,rabbit.png
32333,GSL_G.2_main_1,1700068568383,P.21,hi!,"""P.20_P.21""",696373,dog2.png
32334,GSL_G.2_main_1,1700068568820,P.20,hi!,"""P.20_P.23""",594825,Pig.png
32335,GSL_G.2_main_1,1700068574897,P.21,how are you?,"""P.20_P.21""",696373,dog2.png
32336,GSL_G.2_main_1,1700068575402,P.17,Why are you doing this study :) ?,"""P.15_P.17""",694133,donkey.png
32337,GSL_G.2_main_1,1700068577406,P.19,Hi :),"""P.19_P.21""",90887,panda.png
32338,GSL_G.2_main_1,1700068582947,P.23,hii what is your major?,"""P.14_P.23""",976819,elephant.png
32339,GSL_G.2_main_1,1700068583789,P.15,To get my psych credits lol,"""P.15_P.17""",90684,monkey.png
32340,GSL_G.2_main_1,1700068584833,P.20,"pretty good, how about you?","""P.20_P.21""",594825,Pig.png
32341,GSL_G.2_main_1,1700068586751,P.18,I like your avatar,"""P.14_P.18""",551759,bear.png
32342,GSL_G.2_main_1,1700068587679,P.19,Hiiii :),"""P.16_P.19""",90887,panda.png
32343,GSL_G.2_main_1,1700068588748,P.21,how are you?,"""P.19_P.21""",696373,dog2.png
32344,GSL_G.2_main_1,1700068591179,P.20,hi!,"""P.15_P.20""",594825,Pig.png
32345,GSL_G.2_main_1,1700068593172,P.15,This is the last one that I need to get to 6,"""P.15_P.17""",90684,monkey.png
32346,GSL_G.2_main_1,1700068593687,P.14,I want to do public policy,"""P.14_P.23""",464297,rabbit.png
