chat_id,condition,message1,message2,sender_id,receiver_id,session_time,segment
GSL_G.1_main_1,exploit,Hello,im great,318029,916157,1.2573333333333334,early
GSL_G.1_main_1,exploit,hi,hi,916157,566603,0.1294166666666666,early
GSL_G.1_main_1,exploit,hi,how are you,566603,916157,0.2708833333333333,early
GSL_G.1_main_1,exploit,how are you,good,916157,566603,0.3410833333333333,early
GSL_G.1_main_1,exploit,good,pretty good I had a nice lunch,566603,916157,0.5842333333333334,early
GSL_G.1_main_1,exploit,how r u,pretty good I had a nice lunch,566603,916157,0.5842333333333334,early
GSL_G.1_main_1,exploit,hi!,hi wassup,636532,981044,0.7610666666666667,early
GSL_G.1_main_1,exploit,hello,Hi,811602,318029,1.0217166666666666,early
GSL_G.1_main_1,exploit,Hi! Where are you from?,Hi im from arlington wbu,832427,981044,1.0627,early
GSL_G.1_main_1,exploit,Hi,hello,514869,981044,0.8386333333333333,early
GSL_G.1_main_1,exploit,pretty good I had a nice lunch,what did u have,916157,566603,1.1343166666666666,early
GSL_G.1_main_1,exploit,Hi,heyy,514869,916157,3.7577666666666665,early
GSL_G.1_main_1,exploit,Hi,Hi! Where are you from?,514869,832427,0.85675,early
GSL_G.1_main_1,exploit,hi!,heyy,636532,916157,3.870033333333333,early
GSL_G.1_main_1,exploit,hi wassup,did you have any classes today?,981044,636532,1.8691166666666668,early
GSL_G.1_main_1,exploit,Hi,hi,514869,566603,2.0936666666666666,early
GSL_G.1_main_1,exploit,How is everyone?,im great,318029,916157,1.2573333333333334,early
GSL_G.1_main_1,exploit,Hi!,hey!,273563,636532,2.823633333333333,early
GSL_G.1_main_1,exploit,hello,hi! how are you,811602,944735,1.1367,early
GSL_G.1_main_1,exploit,hello,how are you,981044,514869,1.2095166666666666,early
GSL_G.1_main_1,exploit,Hi,hello,514869,811602,0.9590333333333332,early
GSL_G.1_main_1,exploit,Hi! Where are you from?,"hi! im from newport beach, California! how about you?",832427,514869,1.45885,early
GSL_G.1_main_1,exploit,Hi,Hello,514869,318029,1.1217,early
GSL_G.1_main_1,exploit,hi how are you,"Hi im good, just very tired wbu",916157,981044,1.23485,early
GSL_G.1_main_1,exploit,Hi,Hi!,514869,273563,1.0854666666666666,early
GSL_G.1_main_1,exploit,hello,where are you from?,811602,514869,1.7180666666666666,early
GSL_G.1_main_1,exploit,Hi,hi! how are you,514869,944735,1.5446,early
GSL_G.1_main_1,exploit,Hi,how are you?,318029,811602,1.5752166666666667,early
GSL_G.1_main_1,exploit,Hi im from arlington wbu,Omg I'm from Alexandria,981044,832427,1.3195666666666668,early
GSL_G.1_main_1,exploit,Hi,hi!,514869,636532,2.88095,early
GSL_G.1_main_1,exploit,Hi!,where are you from?,273563,514869,3.00225,early
GSL_G.1_main_1,exploit,Hello,where are you from?,318029,514869,1.8066166666666668,early
GSL_G.1_main_1,exploit,what did u have,bodos,566603,916157,1.9695333333333331,early
GSL_G.1_main_1,exploit,hi! how are you,"I'm doing alright, how are you?",944735,811602,1.3443833333333333,early
GSL_G.1_main_1,exploit,how are you,very tired atm wbu,514869,981044,1.3714,early
GSL_G.1_main_1,exploit,"Hi im good, just very tired wbu",ya same,981044,916157,3.457966666666666,early
GSL_G.1_main_1,exploit,im great,Im great!,916157,318029,1.723766666666667,early
GSL_G.1_main_1,exploit,how are you,Im great!,916157,318029,1.723766666666667,early
GSL_G.1_main_1,exploit,Hello,hi!,318029,636532,1.4150166666666666,early
GSL_G.1_main_1,exploit,Omg I'm from Alexandria,oh cool what highschool did you go to,832427,981044,1.5995,early
