StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ICsignature_Id,ICsignature_Name,ICsignature_Size,ICsignature_Type,SPANE_1,SPANE_2,SPANE_3,SPANE_4,SPANE_5,SPANE_6,SPANE_7,SPANE_8,SPANE_9,SPANE_10,SPANE_11,SPANE_12,age,netID,year,gender,gender_5_TEXT,race,race_6_TEXT,mother_ed,father_ed,family_income,Q14,Q15,SubID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Agreement:
I agree to participate in the research study described above. - Id","Agreement:
I agree to participate in the research study described above. - Name","Agreement:
I agree to participate in the research study described above. - Size","Agreement:
I agree to participate in the research study described above. - Type","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Positive","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Negative","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Good","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Bad","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Pleasant","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Unpleasant","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Happy","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Sad","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Afraid","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Joyful","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Angry","Please think about what you have been doing and experiencing during the past four weeks. Then report how much you experienced each of the following feelings, using the scale below. For each item, select a number from 1 to 5. - Contented",What is your age?,"What is your computing ID (e.g., abc1de)?",What is your year in school?,What is your gender? - Selected Choice,What is your gender? - Prefer to self describe - Text,Please check the racial/ethnic categories which describe you. Select as many as needed. - Selected Choice,Please check the racial/ethnic categories which describe you. Select as many as needed. - Other - Text,What is your mother's (or first caregiver's) highest level of education?,What is your father's (or second caregiver's) highest level of education?,"What is your family household income? If you do not know, please guess.",Are you a 1st generation college student?,Are you an in-state student?,SubID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID39_FILE_ID""}","{""ImportId"":""QID39_FILE_NAME""}","{""ImportId"":""QID39_FILE_SIZE""}","{""ImportId"":""QID39_FILE_TYPE""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID15_12""}","{""ImportId"":""QID1215109746_TEXT""}","{""ImportId"":""QID1215109747_TEXT""}","{""ImportId"":""QID1215109748""}","{""ImportId"":""QID1215109749""}","{""ImportId"":""QID1215109749_5_TEXT""}","{""ImportId"":""QID1215109750""}","{""ImportId"":""QID1215109750_6_TEXT""}","{""ImportId"":""QID1215109751""}","{""ImportId"":""QID1215109752""}","{""ImportId"":""QID1215109753""}","{""ImportId"":""QID1215109759""}","{""ImportId"":""QID1215109760""}","{""ImportId"":""SubID""}"
2023-11-15 11:23:29,2023-11-15 11:25:38,0,199.111.213.248,100,129,1,2023-11-15 11:25:40,R_2rORjrqkrFMQERJ,,,,,38.041,-78.4883,anonymous,EN,F_21mHYYk0vjpiMMR,signature.png,8352,image/png,3,4,3,3,3,3,4,3,4,3,2,2,18,dcb7cy,1,1,,"4,5",,5,7,7,1,2,527924
2023-11-15 11:23:43,2023-11-15 11:25:42,0,198.90.112.65,100,118,1,2023-11-15 11:25:43,R_BYbIOU5n29lvXKV,,,,,38.0321,-78.489,anonymous,EN,F_WkDyUSwt0ExDVlL,signature.png,8173,image/png,3,3,3,3,3,2,4,4,2,3,2,2,20,jva6yw,2,2,,4,,6,,4,1,1,313398
2023-11-15 11:23:27,2023-11-15 11:25:49,0,199.111.213.101,100,142,1,2023-11-15 11:25:50,R_tRS4g0Gd6muZ74R,,,,,38.041,-78.4883,anonymous,EN,F_1MNf9p2Ldsdub4c,signature.png,15936,image/png,4,4,4,4,4,3,4,4,1,3,3,3,18,Fyt6ge,1,2,,"5,6",Taiwanese,6,6,7,1,2,931415
2023-11-15 11:23:26,2023-11-15 11:25:53,0,199.111.227.19,100,146,1,2023-11-15 11:25:54,R_2woguAHn4Ub2ptp,,,,,38.0321,-78.489,anonymous,EN,F_1dLcno3drKvDNKw,signature.png,4528,image/png,4,3,3,2,4,2,4,4,2,3,2,4,19,xvx9qs,2,1,,4,,2,2,6,2,1,990670
2023-11-15 11:23:32,2023-11-15 11:26:45,0,75.75.2.158,100,193,1,2023-11-15 11:26:46,R_3F2IBf1fZFObVxL,,,,,38.0271,-78.4797,anonymous,EN,F_Rwdx4NKwFYhHof7,signature.png,16901,image/png,3,3,4,3,3,4,3,4,2,3,2,4,23,zzs8bx,4,1,,8,,1,1,21,2,2,966678
2023-11-15 11:23:29,2023-11-15 11:26:57,0,199.111.213.109,100,208,1,2023-11-15 11:26:58,R_2VxRyQKob5j9kAD,,,,,38.041,-78.4883,anonymous,EN,F_5z4jdhVcNYOKDip,signature.png,8577,image/png,3,3,4,2,3,2,4,2,1,3,1,3,19,vvp4cx,2,2,,4,,5,7,21,1,2,404045
2023-11-15 11:23:52,2023-11-15 11:27:06,0,67.129.8.225,100,193,1,2023-11-15 11:27:07,R_tR4Rp6haSd1osN3,,,,,38.0321,-78.489,anonymous,EN,F_yWlBIBXDLhbhyYF,signature.png,9368,image/png,4,3,4,3,4,2,4,3,3,3,2,3,19,jmw5jr,2,1,,"1,4,5",,6,7,21,1,1,261957
2023-11-15 11:23:28,2023-11-15 11:27:11,0,199.111.226.58,100,222,1,2023-11-15 11:27:12,R_2axnn2tFxFZeiza,,,,,38.0321,-78.489,anonymous,EN,F_2zASKKa5JkPenGa,signature.png,13695,image/png,4,2,5,2,4,2,4,2,2,5,2,2,20,Hqf3bx,2,1,,4,,6,7,6,1,2,903981
