SubID,mean_sts_score,SPANE_P_pre,SPANE_N_pre,SPANE_Balance_pre,SPANE_P_post,SPANE_N_post,SPANE_Balance_post,SPANE_P_change,SPANE_N_change,SPANE_Balance_change,Group
13560,0.56260556,30.0,11.0,19.0,30.0,6.0,24.0,0.0,-5.0,5.0,explore
16853,0.5751548,21.0,15.0,6.0,26.0,6.0,20.0,5.0,-9.0,14.0,exploit
18608,0.56178623,26.0,15.0,11.0,24.0,9.0,15.0,-2.0,-6.0,4.0,explore
24405,0.5585296,25.0,14.0,11.0,21.0,13.0,8.0,-4.0,-1.0,-3.0,explore
30397,0.573216,23.0,14.0,9.0,28.0,8.0,20.0,5.0,-6.0,11.0,exploit
31392,0.6124148,24.0,14.0,10.0,24.0,6.0,18.0,0.0,-8.0,8.0,explore
37695,0.5773804,24.0,14.0,10.0,17.0,6.0,11.0,-7.0,-8.0,1.0,exploit
46657,0.57134986,27.0,11.0,16.0,28.0,6.0,22.0,1.0,-5.0,6.0,control
47182,0.59749603,21.0,10.0,11.0,23.0,6.0,17.0,2.0,-4.0,6.0,explore
56660,0.5630088,22.0,17.0,5.0,21.0,11.0,10.0,-1.0,-6.0,5.0,control
62483,0.56298596,21.0,18.0,3.0,27.0,6.0,21.0,6.0,-12.0,18.0,exploit
65159,0.5797784,25.0,15.0,10.0,23.0,9.0,14.0,-2.0,-6.0,4.0,explore
65882,0.61071044,23.0,11.0,12.0,25.0,11.0,14.0,2.0,0.0,2.0,exploit
65930,0.5745223,23.0,17.0,6.0,25.0,17.0,8.0,2.0,0.0,2.0,exploit
67560,0.60733116,21.0,22.0,-1.0,19.0,12.0,7.0,-2.0,-10.0,8.0,explore
68918,0.56908244,18.0,14.0,4.0,19.0,6.0,13.0,1.0,-8.0,9.0,explore
73830,0.6015435,30.0,12.0,18.0,18.0,12.0,6.0,-12.0,0.0,-12.0,control
74141,0.5510042,26.0,11.0,15.0,13.0,12.0,1.0,-13.0,1.0,-14.0,control
76003,0.567197,20.0,12.0,8.0,26.0,6.0,20.0,6.0,-6.0,12.0,explore
79689,0.6051662,23.0,15.0,8.0,16.0,6.0,10.0,-7.0,-9.0,2.0,exploit
89877,0.59043807,18.0,14.0,4.0,21.0,9.0,12.0,3.0,-5.0,8.0,exploit
90684,0.5740773,24.0,17.0,7.0,23.0,7.0,16.0,-1.0,-10.0,9.0,control
90887,0.5685813,18.0,13.0,5.0,26.0,6.0,20.0,8.0,-7.0,15.0,control
94545,0.58525527,21.0,13.0,8.0,18.0,6.0,12.0,-3.0,-7.0,4.0,exploit
97946,0.57490546,22.0,17.0,5.0,25.0,6.0,19.0,3.0,-11.0,14.0,explore
106152,0.56851405,15.0,18.0,-3.0,20.0,10.0,10.0,5.0,-8.0,13.0,explore
108038,0.5836957,25.0,11.0,14.0,24.0,6.0,18.0,-1.0,-5.0,4.0,explore
110325,0.5651986,27.0,12.0,15.0,30.0,7.0,23.0,3.0,-5.0,8.0,control
115963,0.5706409,21.0,15.0,6.0,17.0,6.0,11.0,-4.0,-9.0,5.0,exploit
119108,0.5645319,23.0,11.0,12.0,16.0,6.0,10.0,-7.0,-5.0,-2.0,explore
121131,0.5749064,19.0,18.0,1.0,22.0,7.0,15.0,3.0,-11.0,14.0,exploit
126757,0.56066173,23.0,16.0,7.0,30.0,8.0,22.0,7.0,-8.0,15.0,control
136117,0.59712577,23.0,14.0,9.0,13.0,6.0,7.0,-10.0,-8.0,-2.0,exploit
140700,0.5828151,24.0,11.0,13.0,16.0,7.0,9.0,-8.0,-4.0,-4.0,exploit
