SubID,mean_sts_score,SPANE_P_pre,SPANE_N_pre,SPANE_Balance_pre,SPANE_P_post,SPANE_N_post,SPANE_Balance_post,SPANE_P_change,SPANE_N_change,SPANE_Balance_change,Group
13560,0.5626055971774194,30.0,11.0,19.0,30.0,6.0,24.0,0.0,-5.0,5.0,explore
16853,0.5751547912142857,21.0,15.0,6.0,26.0,6.0,20.0,5.0,-9.0,14.0,exploit
18608,0.5617862706481481,26.0,15.0,11.0,24.0,9.0,15.0,-2.0,-6.0,4.0,explore
24405,0.5585296578991596,25.0,14.0,11.0,21.0,13.0,8.0,-4.0,-1.0,-3.0,explore
30397,0.5700070925563909,23.0,14.0,9.0,28.0,8.0,20.0,5.0,-6.0,11.0,exploit
31392,0.59088226,24.0,14.0,10.0,24.0,6.0,18.0,0.0,-8.0,8.0,explore
37695,0.5773804218181818,24.0,14.0,10.0,17.0,6.0,11.0,-7.0,-8.0,1.0,exploit
46657,0.5713498948854961,27.0,11.0,16.0,28.0,6.0,22.0,1.0,-5.0,6.0,control
47182,0.5849178125,21.0,10.0,11.0,23.0,6.0,17.0,2.0,-4.0,6.0,explore
56660,0.5598190752554745,22.0,17.0,5.0,21.0,11.0,10.0,-1.0,-6.0,5.0,control
62483,0.5629859528571428,21.0,18.0,3.0,27.0,6.0,21.0,6.0,-12.0,18.0,exploit
65159,0.5710237422916666,25.0,15.0,10.0,23.0,9.0,14.0,-2.0,-6.0,4.0,explore
65882,0.610710438,23.0,11.0,12.0,25.0,11.0,14.0,2.0,0.0,2.0,exploit
65930,0.5745223472222222,23.0,17.0,6.0,25.0,17.0,8.0,2.0,0.0,2.0,exploit
67560,0.6073311741463415,21.0,22.0,-1.0,19.0,12.0,7.0,-2.0,-10.0,8.0,explore
68918,0.5690824488636363,18.0,14.0,4.0,19.0,6.0,13.0,1.0,-8.0,9.0,explore
73830,0.6015434726086957,30.0,12.0,18.0,18.0,12.0,6.0,-12.0,0.0,-12.0,control
74141,0.55100414875,26.0,11.0,15.0,13.0,12.0,1.0,-13.0,1.0,-14.0,control
76003,0.56719704392,20.0,12.0,8.0,26.0,6.0,20.0,6.0,-6.0,12.0,explore
79689,0.6051662182352942,23.0,15.0,8.0,16.0,6.0,10.0,-7.0,-9.0,2.0,exploit
89877,0.5904380647457628,18.0,14.0,4.0,21.0,9.0,12.0,3.0,-5.0,8.0,exploit
90684,0.5740773321518987,24.0,17.0,7.0,23.0,7.0,16.0,-1.0,-10.0,9.0,control
90887,0.5685812924358975,18.0,13.0,5.0,26.0,6.0,20.0,8.0,-7.0,15.0,control
94545,0.5852552509090909,21.0,13.0,8.0,18.0,6.0,12.0,-3.0,-7.0,4.0,exploit
97946,0.5749054428275862,22.0,17.0,5.0,25.0,6.0,19.0,3.0,-11.0,14.0,explore
106152,0.5642418792079208,15.0,18.0,-3.0,20.0,10.0,10.0,5.0,-8.0,13.0,explore
108038,0.5783924891082802,25.0,11.0,14.0,24.0,6.0,18.0,-1.0,-5.0,4.0,explore
110325,0.5651986137681159,27.0,12.0,15.0,30.0,7.0,23.0,3.0,-5.0,8.0,control
115963,0.5706409491304347,21.0,15.0,6.0,17.0,6.0,11.0,-4.0,-9.0,5.0,exploit
119108,0.5645318791891892,23.0,11.0,12.0,16.0,6.0,10.0,-7.0,-5.0,-2.0,explore
121131,0.569784773373494,19.0,18.0,1.0,22.0,7.0,15.0,3.0,-11.0,14.0,exploit
126757,0.56066174825,23.0,16.0,7.0,30.0,8.0,22.0,7.0,-8.0,15.0,control
136117,0.5971257769565217,23.0,14.0,9.0,13.0,6.0,7.0,-10.0,-8.0,-2.0,exploit
140700,0.5828150943478261,24.0,11.0,13.0,16.0,7.0,9.0,-8.0,-4.0,-4.0,exploit
142465,0.595101340425532,20.0,19.0,1.0,26.0,7.0,19.0,6.0,-12.0,18.0,exploit
143242,0.5825645263157895,22.0,20.0,2.0,21.0,9.0,12.0,-1.0,-11.0,10.0,exploit
144933,0.57925432,27.0,14.0,13.0,21.0,9.0,12.0,-6.0,-5.0,-1.0,explore
147974,0.5591667640625,15.0,18.0,-3.0,21.0,11.0,10.0,6.0,-7.0,13.0,exploit
167407,0.5975314516666667,17.0,21.0,-4.0,25.0,6.0,19.0,8.0,-15.0,23.0,explore
168016,0.5571707969135803,25.0,16.0,9.0,19.0,15.0,4.0,-6.0,-1.0,-5.0,explore
173913,0.5924825152380953,22.0,19.0,3.0,15.0,6.0,9.0,-7.0,-13.0,6.0,explore
176865,0.56555862,24.0,15.0,9.0,28.0,9.0,19.0,4.0,-6.0,10.0,explore
179220,0.5857200975728155,21.0,17.0,4.0,24.0,7.0,17.0,3.0,-10.0,13.0,control
179363,0.5826713362068966,11.0,23.0,-12.0,15.0,6.0,9.0,4.0,-17.0,21.0,exploit
183128,0.5694035242857143,23.0,11.0,12.0,20.0,9.0,11.0,-3.0,-2.0,-1.0,explore
186600,0.5644916789090909,24.0,15.0,9.0,23.0,9.0,14.0,-1.0,-6.0,5.0,explore
188277,0.5571310590441176,22.0,12.0,10.0,19.0,6.0,13.0,-3.0,-6.0,3.0,exploit
192992,0.5865633317142858,20.0,14.0,6.0,22.0,7.0,15.0,2.0,-7.0,9.0,control
196442,0.5700181417045455,24.0,16.0,8.0,19.0,8.0,11.0,-5.0,-8.0,3.0,exploit
220828,0.5947489505882353,19.0,14.0,5.0,19.0,8.0,11.0,0.0,-6.0,6.0,explore
226077,0.58297347,16.0,18.0,-2.0,14.0,11.0,3.0,-2.0,-7.0,5.0,control
234381,0.5649182528571428,22.0,16.0,6.0,22.0,7.0,15.0,0.0,-9.0,9.0,control
234448,0.5639919082142857,21.0,13.0,8.0,25.0,7.0,18.0,4.0,-6.0,10.0,control
234888,0.5789159231428571,26.0,11.0,15.0,18.0,8.0,10.0,-8.0,-3.0,-5.0,control
236280,0.5818859543939394,21.0,13.0,8.0,12.0,12.0,0.0,-9.0,-1.0,-8.0,exploit
243614,0.5826840380487806,23.0,15.0,8.0,19.0,7.0,12.0,-4.0,-8.0,4.0,explore
249310,0.5854254905333334,20.0,10.0,10.0,21.0,6.0,15.0,1.0,-4.0,5.0,control
250067,0.5503705673333333,21.0,17.0,4.0,20.0,15.0,5.0,-1.0,-2.0,1.0,control
250908,0.5880844461363636,23.0,14.0,9.0,26.0,6.0,20.0,3.0,-8.0,11.0,control
255359,0.6048307735526316,25.0,20.0,5.0,16.0,6.0,10.0,-9.0,-14.0,5.0,explore
259141,0.5573769687719298,15.0,13.0,2.0,12.0,6.0,6.0,-3.0,-7.0,4.0,explore
259556,0.56296586,23.0,17.0,6.0,27.0,6.0,21.0,4.0,-11.0,15.0,exploit
